-55336272.639175065	129962819.70413539	56344380.42646843
-55337909.463763535	129962229.45944574	56344124.597969934
-55339546.28034734	129961639.19719931	56343868.76181747
-55341183.08897227	129961048.91734095	56343612.91809307
-55342819.88967308	129960458.61993153	56343357.06662263
-55344456.68228738	129959868.3049395	56343101.20763809
-55346093.46690932	129959277.97237319	56342845.34102805
-55347730.24350821	129958687.62225598	56342589.46676854
-55349367.012102336	129958097.25456567	56342333.58489285
-55351003.772724554	129957506.8692551	56342077.695477426
-55352640.52534716	129956916.46640067	56341821.79837371
-55354277.2699957	129956326.04599144	56341565.89358158
-55355914.00670639	129955735.60794562	56341309.98125382
-55357550.73525993	129955145.15237959	56341054.06133793
-55359187.455960944	129954554.6792113	56340798.13372365
-55360824.1688347	129953964.18842998	56340542.19841112
-55362460.873468526	129953373.6801533	56340286.255534254
-55364097.57014514	129952783.15422873	56340030.3051675
-55365734.25884543	129952192.61075665	56339774.34709769
-55367370.939644635	129951602.04970524	56339518.381324805
-55369007.61233685	129951011.47106962	56339262.40806161
-55370644.277042	129950420.87486474	56339006.42715647
-55372280.933928885	129949830.26109824	56338750.43842596
-55373917.58278733	129949239.62968017	56338494.44228368
-55375554.223541416	129948648.9807387	56338238.43850885
-55377190.85643242	129948058.31420782	56337982.427016705
-55378827.4812584	129947467.6301388	56337726.40788736
-55380464.09820438	129946876.92839654	56337470.38125054
-55382100.707096495	129946286.20907944	56337214.347050235
-55383737.30797285	129945695.47226207	56336958.30507717
-55385373.90089593	129945104.71784124	56336702.255507685
-55387010.485969946	129944513.94580495	56336446.198267356
-55388647.06306994	129943923.15619022	56336190.13339351
-55390283.63207256	129943332.34901951	56335934.06095542
-55391920.193090305	129942741.5242312	56335677.98098483
-55393556.74612748	129942150.6819294	56335421.89323735
-55395193.2913273	129941559.82196157	56335165.797924355
-55396829.82850577	129940968.94441774	56334909.69501842
-55398466.357748635	129940378.0493075	56334653.58441371
-55400102.87889493	129939787.13665146	56334397.46622063
-55401739.39228799	129939196.20632775	56334141.34038311
-55403375.89752692	129938605.25845912	56333885.20701163
-55405012.39478166	129938014.2930311	56333629.065973185
-55406648.8842412	129937423.30998462	56333372.91721754
-55408285.36556618	129936832.30939732	56333116.7608998
-55409921.83904104	129936241.29115221	56332860.59700988
-55411558.30465667	129935650.25532404	56332604.42538461
-55413194.76196175	129935059.20201434	56332348.24623324
-55414831.21160598	129934468.13103136	56332092.05935965
-55416467.65321385	129933877.04245827	56331835.8649407
